videoId,totalWords,totalUniqueWords,totalSentences,avgSyllPerSec,avgCEFRScore,avgWordCEFR,avgFreqCEFR,readability,avgSentenceLength,uncommonRatio,totalEasyRatio,totalMiddleRatio,totalHardRatio,wordEasyRatio,wordMiddleRatio,wordHardRatio,FreqEasyRatio,FreqMiddleRatio,FreqHardRatio,channelId,video_id,difficulty,channel_id
uCrrwdOMOiQ,1073,281,232,0.8537437289782944,2.452669039145908,2.174377224199288,2.638196915776987,3.938083274021353,4.625,23.487544483985765,63.98576512455516,18.00711743772242,18.00711743772242,74.55516014234875,9.07473309608541,16.37010676156584,56.93950177935943,23.96204033214709,19.09845788849348,UCpYye8D5fFMUPf9nSfgd4bA,uCrrwdOMOiQ,1,UCpYye8D5fFMUPf9nSfgd4bA
ryL_W9u8ezA,1725,356,409,0.8570219440137823,2.7123595505617977,2.504213483146067,2.851123595505618,4.334108884371309,4.21760391198044,26.12359550561798,56.68539325842696,22.02247191011236,21.29213483146067,65.4494382022472,14.325842696629213,20.2247191011236,50.84269662921349,27.15355805243446,22.00374531835206,UCpYye8D5fFMUPf9nSfgd4bA,ryL_W9u8ezA,1,UCpYye8D5fFMUPf9nSfgd4bA
Z5zeypKHbqw,793,235,183,0.7411527678818911,2.3753191489361702,2.104255319148936,2.556028368794326,3.3729333333333336,4.333333333333333,20.0,66.12765957446808,17.446808510638295,16.425531914893615,76.17021276595744,8.085106382978722,15.74468085106383,59.43262411347517,23.687943262411345,16.879432624113477,UCpYye8D5fFMUPf9nSfgd4bA,Z5zeypKHbqw,1,UCpYye8D5fFMUPf9nSfgd4bA
p7CjJCx2c5o,95,44,15,0.7415743493335588,2.272727272727273,2.1477272727272725,2.356060606060606,4.261633333333333,6.333333333333333,25.0,68.63636363636364,14.09090909090909,17.272727272727273,72.72727272727272,10.227272727272728,17.045454545454543,65.9090909090909,16.666666666666668,17.424242424242422,UCpYye8D5fFMUPf9nSfgd4bA,p7CjJCx2c5o,1,UCpYye8D5fFMUPf9nSfgd4bA
_CzDitGBHbM,76,20,8,0.7496021848054322,2.4200000000000004,2.1,2.6333333333333333,4.4187,9.5,25.0,63.0,19.0,18.0,72.5,12.5,15.0,56.66666666666667,23.333333333333336,20.0,UCpYye8D5fFMUPf9nSfgd4bA,_CzDitGBHbM,1,UCpYye8D5fFMUPf9nSfgd4bA
eDfTg8WFgrA,64,20,16,0.5364744299959181,2.3,2.1,2.433333333333333,4.9354000000000005,4.0,30.0,63.00000000000001,23.0,14.000000000000002,72.5,12.5,15.0,56.66666666666666,30.0,13.333333333333334,UCpYye8D5fFMUPf9nSfgd4bA,eDfTg8WFgrA,1,UCpYye8D5fFMUPf9nSfgd4bA
mb6MoErx88s,305,156,47,1.2640034250415386,2.5871794871794878,2.3974358974358974,2.7136752136752134,3.9657184942716857,6.48936170212766,23.07692307692308,60.64102564102564,17.94871794871795,21.41025641025641,68.26923076923077,11.217948717948715,20.51282051282051,55.55555555555556,22.43589743589744,22.00854700854701,UCpYye8D5fFMUPf9nSfgd4bA,mb6MoErx88s,1,UCpYye8D5fFMUPf9nSfgd4bA
wqV4OSXaGlQ,1533,376,411,0.7920368849974363,2.347872340425532,2.107712765957447,2.507978723404255,3.6285682093492784,3.72992700729927,21.808510638297875,66.32978723404254,18.03191489361702,15.638297872340424,75.53191489361703,9.97340425531915,14.494680851063828,60.195035460992905,23.404255319148938,16.400709219858157,UCpYye8D5fFMUPf9nSfgd4bA,wqV4OSXaGlQ,1,UCpYye8D5fFMUPf9nSfgd4bA
MAkZ9OG6iJ0,1136,294,177,0.8361889407207874,2.6217687074829934,2.328231292517007,2.8174603174603177,3.70190815173527,6.418079096045198,21.428571428571427,59.31972789115648,20.136054421768705,20.54421768707483,71.08843537414967,8.843537414965986,20.068027210884352,51.47392290249432,27.664399092970523,20.861678004535147,UCpYye8D5fFMUPf9nSfgd4bA,MAkZ9OG6iJ0,1,UCpYye8D5fFMUPf9nSfgd4bA
m9yqaS6qFuo,671,181,151,0.834046316881927,2.534806629834254,2.3425414364640886,2.6629834254143643,4.233336123815449,4.443708609271523,25.41436464088398,60.88397790055249,20.441988950276247,18.674033149171272,69.33701657458565,12.154696132596689,18.50828729281768,55.24861878453039,25.96685082872928,18.78453038674033,UCpYye8D5fFMUPf9nSfgd4bA,m9yqaS6qFuo,1,UCpYye8D5fFMUPf9nSfgd4bA
NcbT3WNbsXc,181,99,48,0.8515278817845612,2.4,2.333333333333333,2.4444444444444446,3.536427272727273,3.7708333333333335,21.21212121212121,62.82828282828284,21.21212121212121,15.959595959595958,69.19191919191918,13.131313131313131,17.676767676767675,58.58585858585859,26.5993265993266,14.814814814814811,UCpYye8D5fFMUPf9nSfgd4bA,NcbT3WNbsXc,1,UCpYye8D5fFMUPf9nSfgd4bA
nEbPknRezmA,711,217,177,0.7954096536867847,2.080184331797235,1.9055299539170507,2.196620583717358,3.109839756307116,4.016949152542373,18.433179723502302,73.27188940092167,15.023041474654375,11.705069124423964,81.33640552995391,6.912442396313365,11.751152073732715,67.89554531490015,20.43010752688172,11.674347158218126,UCpYye8D5fFMUPf9nSfgd4bA,nEbPknRezmA,1,UCpYye8D5fFMUPf9nSfgd4bA
mFokEbhQpDc,738,232,166,0.7261567863271281,2.2939655172413795,2.1206896551724137,2.40948275862069,3.5554677399252186,4.445783132530121,21.120689655172413,67.5,17.5,15.000000000000002,75.0,10.775862068965516,14.22413793103448,62.49999999999999,21.98275862068965,15.517241379310343,UCpYye8D5fFMUPf9nSfgd4bA,mFokEbhQpDc,1,UCpYye8D5fFMUPf9nSfgd4bA
ey3F5DjvhR8,630,201,128,0.7120992723206924,2.437810945273632,2.156716417910448,2.6252072968490885,3.622085199004976,4.921875,21.393034825870647,64.17910447761193,16.81592039800995,19.00497512437811,73.6318407960199,8.955223880597014,17.412935323383085,57.87728026533997,22.056384742951906,20.06633499170813,UCpYye8D5fFMUPf9nSfgd4bA,ey3F5DjvhR8,1,UCpYye8D5fFMUPf9nSfgd4bA
AxajE7F4ftY,940,243,262,0.8647305545256828,2.203292181069959,2.090534979423868,2.2784636488340198,3.4919048157572328,3.5877862595419847,20.98765432098765,70.45267489711935,15.1440329218107,14.403292181069958,76.33744855967079,8.024691358024691,15.637860082304526,66.52949245541838,19.89026063100137,13.580246913580249,UCpYye8D5fFMUPf9nSfgd4bA,AxajE7F4ftY,1,UCpYye8D5fFMUPf9nSfgd4bA
QcMNQRjleqU,96,57,25,0.8460905638944759,2.098245614035088,2.0,2.1637426900584797,3.2376569824561403,3.84,19.29824561403509,72.63157894736841,14.035087719298245,13.333333333333332,76.3157894736842,8.771929824561402,14.912280701754383,70.17543859649123,17.54385964912281,12.280701754385964,UCpYye8D5fFMUPf9nSfgd4bA,QcMNQRjleqU,1,UCpYye8D5fFMUPf9nSfgd4bA
t-Q-oDWPmt8,604,176,145,0.7557328326235916,2.6147727272727272,2.5085227272727275,2.685606060606061,4.2438255642633225,4.165517241379311,25.568181818181817,58.18181818181817,21.93181818181818,19.886363636363637,63.63636363636364,15.34090909090909,21.022727272727277,54.54545454545455,26.325757575757574,19.12878787878788,UCpYye8D5fFMUPf9nSfgd4bA,t-Q-oDWPmt8,1,UCpYye8D5fFMUPf9nSfgd4bA
4gB8zfaFGdA,158,85,26,0.8750861121972109,2.651764705882353,2.4529411764705884,2.7843137254901964,5.502827149321266,6.076923076923077,32.94117647058823,60.0,16.235294117647058,23.764705882352946,68.8235294117647,8.235294117647058,22.94117647058824,54.11764705882353,21.568627450980397,24.31372549019608,UCpYye8D5fFMUPf9nSfgd4bA,4gB8zfaFGdA,1,UCpYye8D5fFMUPf9nSfgd4bA
G8haTfUjD58,1012,345,281,0.973583742167167,2.6173913043478256,2.444927536231884,2.732367149758454,4.755442199185105,3.601423487544484,28.98550724637681,60.81159420289855,18.49275362318841,20.695652173913043,68.40579710144928,11.739130434782608,19.85507246376812,55.7487922705314,22.995169082125607,21.256038647342997,UCpYye8D5fFMUPf9nSfgd4bA,G8haTfUjD58,1,UCpYye8D5fFMUPf9nSfgd4bA
0cRN_mAKTl8,82,36,12,1.0274580974740857,2.0,1.7777777777777777,2.1481481481481484,2.5319888888888893,6.833333333333333,13.88888888888889,76.66666666666667,16.11111111111111,7.222222222222222,84.72222222222223,8.333333333333334,6.944444444444445,71.2962962962963,21.296296296296298,7.407407407407407,UCpYye8D5fFMUPf9nSfgd4bA,0cRN_mAKTl8,1,UCpYye8D5fFMUPf9nSfgd4bA
1l4FvrE3Kr0,726,204,184,0.9064346241216008,2.1068627450980397,1.9852941176470589,2.1879084967320264,3.2143808184143228,3.945652173913044,19.11764705882353,72.05882352941175,16.47058823529412,11.47058823529412,78.92156862745098,9.31372549019608,11.76470588235294,67.48366013071896,21.24183006535948,11.274509803921568,UCpYye8D5fFMUPf9nSfgd4bA,1l4FvrE3Kr0,1,UCpYye8D5fFMUPf9nSfgd4bA
ozWTyV5Aak8,99,39,19,1.1104556338272544,2.6923076923076925,2.4102564102564106,2.8803418803418803,4.712031848852901,5.2105263157894735,28.205128205128204,57.94871794871794,17.435897435897438,24.615384615384613,69.23076923076923,10.256410256410255,20.51282051282051,50.427350427350426,22.22222222222222,27.350427350427356,UCpYye8D5fFMUPf9nSfgd4bA,ozWTyV5Aak8,1,UCpYye8D5fFMUPf9nSfgd4bA
qpnRQ9xU37o,146,64,23,0.9444947599948248,2.7,2.2734375,2.984375,5.002508423913044,6.3478260869565215,29.6875,57.1875,19.6875,23.125,71.875,8.59375,19.53125,47.39583333333334,27.083333333333336,25.52083333333333,UCpYye8D5fFMUPf9nSfgd4bA,qpnRQ9xU37o,1,UCpYye8D5fFMUPf9nSfgd4bA
kJtF2wv8LSE,670,178,186,0.8535843468664964,2.647191011235955,2.443820224719101,2.7827715355805243,3.904397003745318,3.6021505376344085,23.59550561797753,58.87640449438202,19.101123595505616,22.02247191011236,66.57303370786516,13.483146067415731,19.943820224719104,53.745318352059925,22.846441947565545,23.40823970037453,UCpYye8D5fFMUPf9nSfgd4bA,kJtF2wv8LSE,1,UCpYye8D5fFMUPf9nSfgd4bA
KIZoqJHshTI,199,116,59,1.099758619156016,2.3551724137931034,2.2327586206896552,2.4367816091954024,4.795398363530099,3.3728813559322037,29.310344827586203,67.75862068965517,13.448275862068966,18.79310344827586,73.70689655172414,6.896551724137931,19.39655172413793,63.79310344827586,17.81609195402299,18.39080459770115,UCpYye8D5fFMUPf9nSfgd4bA,KIZoqJHshTI,1,UCpYye8D5fFMUPf9nSfgd4bA
a5b529pBqhs,96,58,29,0.7931461234983216,2.1206896551724137,1.8103448275862069,2.327586206896552,3.431089655172414,3.310344827586207,20.689655172413797,73.79310344827586,11.034482758620689,15.172413793103448,82.75862068965517,6.896551724137932,10.344827586206897,67.816091954023,13.79310344827586,18.39080459770115,UCpYye8D5fFMUPf9nSfgd4bA,a5b529pBqhs,1,UCpYye8D5fFMUPf9nSfgd4bA
Pp-bovVctiw,58,37,6,0.5130814569817241,2.102702702702703,1.9729729729729728,2.189189189189189,3.893520720720721,9.666666666666666,21.62162162162162,73.5135135135135,13.513513513513512,12.972972972972972,79.72972972972974,5.405405405405405,14.864864864864863,69.36936936936937,18.91891891891892,11.711711711711713,UCpYye8D5fFMUPf9nSfgd4bA,Pp-bovVctiw,1,UCpYye8D5fFMUPf9nSfgd4bA
qmpK8C1Cu60,145,67,39,0.8195791607363038,2.5134328358208955,2.492537313432836,2.527363184079602,4.897843092231152,3.717948717948718,29.850746268656717,63.582089552238806,14.925373134328357,21.492537313432837,68.65671641791045,7.462686567164178,23.88059701492537,60.19900497512438,19.90049751243781,19.900497512437813,UCpYye8D5fFMUPf9nSfgd4bA,qmpK8C1Cu60,1,UCpYye8D5fFMUPf9nSfgd4bA
XWASlXXKU68,48,31,15,0.5639448375188163,2.296774193548387,2.3870967741935485,2.236559139784946,6.27097806451613,3.2,38.70967741935484,67.09677419354838,18.70967741935484,14.193548387096774,67.74193548387096,12.903225806451612,19.35483870967742,66.66666666666667,22.58064516129032,10.752688172043012,UCpYye8D5fFMUPf9nSfgd4bA,XWASlXXKU68,1,UCpYye8D5fFMUPf9nSfgd4bA
qu2GuHKpdw0,298,153,73,1.304183906111703,2.532026143790849,2.3202614379084965,2.673202614379085,3.6081629868385714,4.082191780821918,21.568627450980397,63.52941176470589,16.07843137254902,20.392156862745097,71.89542483660131,8.49673202614379,19.607843137254903,57.95206971677559,21.13289760348584,20.91503267973857,UCpYye8D5fFMUPf9nSfgd4bA,qu2GuHKpdw0,1,UCpYye8D5fFMUPf9nSfgd4bA
LjFsbIPbTgg,1023,280,162,0.8743703347938792,2.9107142857142856,2.678571428571429,3.0654761904761902,5.219393386243387,6.314814814814815,31.071428571428573,53.285714285714285,19.714285714285715,27.0,63.035714285714285,10.714285714285714,26.25,46.78571428571428,25.71428571428571,27.5,UCpYye8D5fFMUPf9nSfgd4bA,LjFsbIPbTgg,1,UCpYye8D5fFMUPf9nSfgd4bA
Xu1OHbeH_6c,743,223,168,0.9058852726556827,2.2215246636771298,2.147982062780269,2.270553064275038,3.4764919496049544,4.422619047619048,20.62780269058296,69.05829596412556,17.309417040358746,13.632286995515695,75.33632286995515,8.74439461883408,15.919282511210763,64.87294469357249,23.01943198804185,12.10762331838565,UCpYye8D5fFMUPf9nSfgd4bA,Xu1OHbeH_6c,1,UCpYye8D5fFMUPf9nSfgd4bA
v0QQ3l93ykU,67,38,19,0.7408602042153434,2.4421052631578943,2.302631578947368,2.5350877192982453,5.576747368421053,3.526315789473684,34.21052631578947,58.42105263157894,24.73684210526316,16.842105263157894,63.1578947368421,21.052631578947366,15.789473684210527,55.26315789473684,27.19298245614035,17.543859649122805,UCpYye8D5fFMUPf9nSfgd4bA,v0QQ3l93ykU,1,UCpYye8D5fFMUPf9nSfgd4bA
